timestamp,username,action,entity_type,entity_id,description
2025-06-11T17:58:20.315014,creator,created,policy,7b956882-35cb-4578-812d-b631fbfb07f2,Policy 'Test Policy' created.
2025-06-11T18:00:54.852050,creator,created,policy,adc23721-0560-4914-9685-6e73b674ab70,Policy 'Test Policy' created.
2025-06-11T18:01:36.478391,creator,created,policy,4c5e2785-6c00-4e6b-b3c1-b3d721a0bdc5,Policy 'Test Policy 2' created.
2025-06-11T18:08:21.905490,creator,created,policy,82df1c26-0e42-469a-a16c-c9b27793285d,Policy 'Test Policy 4' created.
2025-06-11T18:58:39.617751,creator,created,policy,a345839e-c639-4d02-a57b-3ac1aee8acac,Policy 'Test Policy' created.
2025-06-11T18:58:56.036315,creator,created,policy,6bf63b03-a1d7-44e2-b62d-10ddd4b32975,Policy 'Test Policy 2' created.
2025-06-11T20:37:41.394529,creator,created,policy,62b01c19-ba11-425d-ad6a-90d0134e0111,Policy 'Test Policy' created.
2025-06-11T20:37:59.335161,creator,created,policy,f24083bd-13f9-480d-bcfe-9d7021a7dbef,Policy 'Test Policy 2' created.
2025-06-11T20:40:33.553214,creator,created,policy,4fcc17a5-2231-474d-a369-5a3ef595bfeb,Policy 'Test Policy' created.
2025-06-11T20:42:39.467641,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T20:42:49.244560,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T20:43:31.274012,creator,created,policy,a0539b92-174c-4aa9-8007-53d70ca03b93,Policy 'Test Policy 2' created.
2025-06-11T20:44:05.753993,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T20:44:13.217000,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T20:44:17.879416,approver,updated,policy,4fcc17a5-2231-474d-a369-5a3ef595bfeb,Policy '' updated.
2025-06-11T20:44:17.880336,approver,approve_and_enable,Policy,4fcc17a5-2231-474d-a369-5a3ef595bfeb,"Policy ""Test Policy"" was approved and enabled."
2025-06-11T20:44:27.379034,approver,updated,policy,a0539b92-174c-4aa9-8007-53d70ca03b93,Policy '' updated.
2025-06-11T20:44:32.409368,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T20:44:41.124550,admin,login_failed,User,N/A,Failed login attempt.
2025-06-11T20:44:47.888849,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T21:41:40.169387,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T21:41:46.980405,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T21:42:13.792391,creator,updated,policy,a0539b92-174c-4aa9-8007-53d70ca03b93,Policy 'Test Policy 2' updated.
2025-06-11T21:42:19.154701,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
